id,parent,iso3166-1:alpha2,name,urls,iso3166-2,short_code
austria,europe,['AT'],Austria,"{'pbf': 'https://download.geofabrik.de/europe/austria-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/austria-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/austria-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/austria-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/austria-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/austria/', 'updates': 'https://download.geofabrik.de/europe/austria-updates'}",,AT
auvergne,france,,Auvergne,"{'pbf': 'https://download.geofabrik.de/europe/france/auvergne-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/france/auvergne-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/france/auvergne-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/france/auvergne-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/france/auvergne-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/france/auvergne/', 'updates': 'https://download.geofabrik.de/europe/france/auvergne-updates'}",,
azerbaijan,asia,['AZ'],Azerbaijan,"{'pbf': 'https://download.geofabrik.de/asia/azerbaijan-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/asia/azerbaijan-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/asia/azerbaijan-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/asia/azerbaijan-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/asia/azerbaijan-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/asia/azerbaijan/', 'updates': 'https://download.geofabrik.de/asia/azerbaijan-updates'}",,AZ
azores,europe,,Azores,"{'pbf': 'https://download.geofabrik.de/europe/azores-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/azores-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/azores-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/azores-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/azores-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/azores/', 'updates': 'https://download.geofabrik.de/europe/azores-updates'}",,
baden-wuerttemberg,germany,,Baden-Württemberg,"{'pbf': 'https://download.geofabrik.de/europe/germany/baden-wuerttemberg-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/germany/baden-wuerttemberg-latest.osm.bz2', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/germany/baden-wuerttemberg-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/germany/baden-wuerttemberg-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/germany/baden-wuerttemberg/', 'updates': 'https://download.geofabrik.de/europe/germany/baden-wuerttemberg-updates'}",,
bahamas,central-america,,Bahamas,"{'pbf': 'https://download.geofabrik.de/central-america/bahamas-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/central-america/bahamas-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/central-america/bahamas-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/central-america/bahamas-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/central-america/bahamas-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/central-america/bahamas/', 'updates': 'https://download.geofabrik.de/central-america/bahamas-updates'}",,
bangladesh,asia,['BD'],Bangladesh,"{'pbf': 'https://download.geofabrik.de/asia/bangladesh-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/asia/bangladesh-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/asia/bangladesh-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/asia/bangladesh-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/asia/bangladesh-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/asia/bangladesh/', 'updates': 'https://download.geofabrik.de/asia/bangladesh-updates'}",,BD
basse-normandie,france,,Basse-Normandie,"{'pbf': 'https://download.geofabrik.de/europe/france/basse-normandie-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/france/basse-normandie-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/france/basse-normandie-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/france/basse-normandie-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/france/basse-normandie-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/france/basse-normandie/', 'updates': 'https://download.geofabrik.de/europe/france/basse-normandie-updates'}",,
bayern,germany,,Bayern,"{'pbf': 'https://download.geofabrik.de/europe/germany/bayern-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/germany/bayern-latest.osm.bz2', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/germany/bayern-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/germany/bayern-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/germany/bayern/', 'updates': 'https://download.geofabrik.de/europe/germany/bayern-updates'}",,
bedfordshire,england,,Bedfordshire,"{'pbf': 'https://download.geofabrik.de/europe/great-britain/england/bedfordshire-latest.osm.pbf', 'bz2': 'https://download.geofabrik.de/europe/great-britain/england/bedfordshire-latest.osm.bz2', 'shp': 'https://download.geofabrik.de/europe/great-britain/england/bedfordshire-latest-free.shp.zip', 'pbf-internal': 'https://osm-internal.download.geofabrik.de/europe/great-britain/england/bedfordshire-latest-internal.osm.pbf', 'history': 'https://osm-internal.download.geofabrik.de/europe/great-britain/england/bedfordshire-internal.osh.pbf', 'taginfo': 'https://taginfo.geofabrik.de/europe/great-britain/england/bedfordshire/', 'updates': 'https://download.geofabrik.de/europe/great-britain/england/bedfordshire-updates'}",,
